

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:41:12 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443533.500000000, A.D. 1978-Jan-25 00:00:00.0000,  3.037570363154045E+07,  3.155945931570584E+08,  2.393719433191782E+07,
2443534.500000000, A.D. 1978-Jan-26 00:00:00.0000,  2.892409895763681E+07,  3.171019313835077E+08,  2.397954373585530E+07,
2443535.500000000, A.D. 1978-Jan-27 00:00:00.0000,  2.747163382262491E+07,  3.185996593194851E+08,  2.402116682413578E+07,
2443536.500000000, A.D. 1978-Jan-28 00:00:00.0000,  2.601836256146615E+07,  3.200878543164338E+08,  2.406207156691279E+07,
2443537.500000000, A.D. 1978-Jan-29 00:00:00.0000,  2.456433823785974E+07,  3.215665929166694E+08,  2.410226581927298E+07,
2443538.500000000, A.D. 1978-Jan-30 00:00:00.0000,  2.310961267604865E+07,  3.230359508597862E+08,  2.414175732312556E+07,
2443539.500000000, A.D. 1978-Jan-31 00:00:00.0000,  2.165423649176840E+07,  3.244960030892164E+08,  2.418055370906329E+07,
2443540.500000000, A.D. 1978-Feb-01 00:00:00.0000,  2.019825912235557E+07,  3.259468237589036E+08,  2.421866249819657E+07,
2443541.500000000, A.D. 1978-Feb-02 00:00:00.0000,  1.874172885605122E+07,  3.273884862401165E+08,  2.425609110395740E+07,
2443542.500000000, A.D. 1978-Feb-03 00:00:00.0000,  1.728469286051541E+07,  3.288210631283718E+08,  2.429284683387583E+07,
2443543.500000000, A.D. 1978-Feb-04 00:00:00.0000,  1.582719721057145E+07,  3.302446262504432E+08,  2.432893689132895E+07,
2443544.500000000, A.D. 1978-Feb-05 00:00:00.0000,  1.436928691520252E+07,  3.316592466714500E+08,  2.436436837726229E+07,
2443545.500000000, A.D. 1978-Feb-06 00:00:00.0000,  1.291100594409020E+07,  3.330649947019765E+08,  2.439914829188479E+07,
