

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 02:41:50 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2443407.500000000, A.D. 1977-Sep-21 00:00:00.0000,  1.565864900387909E+08,  1.879106778007848E+07,  8.410963752593614E+06,  2.862085927250217E+00,  3.772009428747984E+01,  2.822376436565104E+00,
2443408.500000000, A.D. 1977-Sep-22 00:00:00.0000,  1.568140955955774E+08,  2.204749789055018E+07,  8.653745920208357E+06,  2.407417970304503E+00,  3.765878467000815E+01,  2.797516411025702E+00,
2443409.500000000, A.D. 1977-Sep-23 00:00:00.0000,  1.570026434388628E+08,  2.529825957232691E+07,  8.894363842840796E+06,  1.958012413524739E+00,  3.758892670783800E+01,  2.772283263624937E+00,
2443410.500000000, A.D. 1977-Sep-24 00:00:00.0000,  1.571525984012570E+08,  2.854262627454535E+07,  9.132786596870050E+06,  1.514101405297678E+00,  3.751079979018618E+01,  2.746707348573638E+00,
2443411.500000000, A.D. 1977-Sep-25 00:00:00.0000,  1.572644445796551E+08,  3.177989582871646E+07,  9.368985863213195E+06,  1.075898746948844E+00,  3.742468872976101E+01,  2.720818587895021E+00,
2443412.500000000, A.D. 1977-Sep-26 00:00:00.0000,  1.573386837558168E+08,  3.500939086485966E+07,  9.602935886459060E+06,  6.436000410692068E-01,  3.733088255621367E+01,  2.694646391026909E+00,
2443413.500000000, A.D. 1977-Sep-27 00:00:00.0000,  1.573758338334825E+08,  3.823045912545466E+07,  9.834613427373290E+06,  2.173829245344954E-01,  3.722967335815751E+01,  2.668219581822546E+00,
2443414.500000000, A.D. 1977-Sep-28 00:00:00.0000,  1.573764272989964E+08,  4.144247368161952E+07,  1.006399770941891E+07, -2.025926215953431E-01,  3.712135517866549E+01,  2.641566333004880E+00,
2443415.500000000, A.D. 1977-Sep-29 00:00:00.0000,  1.573410097117578E+08,  4.464483305632757E+07,  1.029107035993217E+07, -6.161838927682440E-01,  3.700622296852769E+01,  2.614714107969402E+00,
2443416.500000000, A.D. 1977-Sep-30 00:00:00.0000,  1.572701382301671E+08,  4.783696125980380E+07,  1.051581534658251E+07, -1.023265019879855E+00,  3.688457160058177E+01,  2.587689609795076E+00,
2443417.500000000, A.D. 1977-Oct-01 00:00:00.0000,  1.571643801780723E+08,  5.101830774248784E+07,  1.073821890973231E+07, -1.423726474120751E+00,  3.675669494754174E+01,  2.560518737281502E+00,
2443418.500000000, A.D. 1977-Oct-02 00:00:00.0000,  1.570243116560576E+08,  5.418834727112512E+07,  1.095826949129211E+07, -1.817474525219287E+00,  3.662288502494273E+01,  2.533226547800568E+00,
2443419.500000000, A.D. 1977-Oct-03 00:00:00.0000,  1.568505162013032E+08,  5.734657973365623E+07,  1.117595766065813E+07, -2.204430660657617E+00,  3.648343120001756E+01,  2.505837226611231E+00,
2443420.500000000, A.D. 1977-Oct-04 00:00:00.0000,  1.566435834990285E+08,  6.049252987860497E+07,  1.139127603825339E+07, -2.584530972542936E+00,  3.633861946655821E+01,  2.478374062460000E+00,
2443421.500000000, A.D. 1977-Oct-05 00:00:00.0000,  1.564041081479769E+08,  6.362574699456726E+07,  1.160421921720689E+07, -2.957725521838638E+00,  3.618873178340598E+01,  2.450859428396662E+00,
2443422.500000000, A.D. 1977-Oct-06 00:00:00.0000,  1.561326884819678E+08,  6.674580453556647E+07,  1.181478368367044E+07, -3.323977675949436E+00,  3.603404548321890E+01,  2.423314769712940E+00,
2443423.500000000, A.D. 1977-Oct-07 00:00:00.0000,  1.558299254491251E+08,  6.985229969791034E+07,  1.202296773627144E+07, -3.683263438609278E+00,  3.587483273967523E+01,  2.395760595611256E+00,
2443424.500000000, A.D. 1977-Oct-08 00:00:00.0000,  1.554964215494131E+08,  7.294485295371056E+07,  1.222877140506531E+07, -4.035570770217339E+00,  3.571136009761119E+01,  2.368216476103404E+00,
2443425.500000000, A.D. 1977-Oct-09 00:00:00.0000,  1.551327798310617E+08,  7.602310754639454E+07,  1.243219637041408E+07, -4.380898905244893E+00,  3.554388806224201E+01,  2.340701043268995E+00,
2443426.500000000, A.D. 1977-Oct-10 00:00:00.0000,  1.547396029459384E+08,  7.908672895318080E+07,  1.263324588214831E+07, -4.719257671104963E+00,  3.537267074502411E+01,  2.313231996507366E+00,
2443427.500000000, A.D. 1977-Oct-11 00:00:00.0000,  1.543174922635575E+08,  8.213540431931111E+07,  1.283192467934186E+07, -5.050666812543188E+00,  3.519795556340968E+01,  2.285826111403468E+00,
2443428.500000000, A.D. 1977-Oct-12 00:00:00.0000,  1.538670470430920E+08,  8.516884186856358E+07,  1.302823891099544E+07, -5.375155325162204E+00,  3.501998299157361E+01,  2.258499251836481E+00,
2443429.500000000, A.D. 1977-Oct-13 00:00:00.0000,  1.533891633441622E+08,  8.818744190714392E+07,  1.322245971577147E+07, -5.688953061619500E+00,  3.484751816989113E+01,  2.234615613444136E+00,
2443430.500000000, A.D. 1977-Oct-14 00:00:00.0000,  1.528841637296478E+08,  9.119034692894429E+07,  1.341435787212498E+07, -5.999716971618425E+00,  3.466372437333463E+01,  2.207490437185752E+00,
2443431.500000000, A.D. 1977-Oct-15 00:00:00.0000,  1.523526077341416E+08,  9.417725922082512E+07,  1.360391755057522E+07, -6.303693513285694E+00,  3.447735192276849E+01,  2.180486318294196E+00,
2443432.500000000, A.D. 1977-Oct-16 00:00:00.0000,  1.517950792526844E+08,  9.714796516703227E+07,  1.379114975261019E+07, -6.600942408271532E+00,  3.428861206214786E+01,  2.153615668166523E+00,
2443433.500000000, A.D. 1977-Oct-17 00:00:00.0000,  1.512121567503020E+08,  1.001022690775888E+08,  1.397606651664684E+07, -6.891529534504143E+00,  3.409770849221339E+01,  2.126890082367835E+00,
2443434.500000000, A.D. 1977-Oct-18 00:00:00.0000,  1.506044127544613E+08,  1.030399925359892E+08,  1.415868084859452E+07, -7.175526366119326E+00,  3.390483736222103E+01,  2.100320365181638E+00,
